뉴스 제목,뉴스 링크,언론사,날짜
"[사진]김민선-김준호, '빙속 세계선수권 남녀 500m 석권'",http://www.osen.co.kr/article/G1112011201,OSEN,2022-12-20
"伊매체 ""김민재 21일 나폴리 훈련 복귀"", 22일 친선전 건너뛰고 인테르전에 초...",http://sports.chosun.com/news/ntype.htm?id=202212200100137160017398&servicedate=20221220,스포츠조선,2022-12-20
귀국하는 김민선,https://www.yna.co.kr/view/PYH20221220205100013?input=1196m,연합뉴스,2022-12-20
귀국하는 김민선,https://www.yna.co.kr/view/PYH20221220205000013?input=1196m,연합뉴스,2022-12-20
귀국하는 김민선,https://www.yna.co.kr/view/PYH20221220205200013?input=1196m,연합뉴스,2022-12-20
귀국하는 김민선,https://www.yna.co.kr/view/PYH20221220205300013?input=1196m,연합뉴스,2022-12-20
"김민선, 금메달과 함께",https://www.yna.co.kr/view/PYH20221220205800013?input=1196m,연합뉴스,2022-12-20
"스피드스케이팅 대표팀, 웃는 얼굴로",https://www.yna.co.kr/view/PYH20221220205400013?input=1196m,연합뉴스,2022-12-20
"김민선, 금메달과 함께",https://www.yna.co.kr/view/PYH20221220205700013?input=1196m,연합뉴스,2022-12-20
"스피드스케이팅 대표팀, 웃는 얼굴로",https://www.yna.co.kr/view/PYH20221220205900013?input=1196m,연합뉴스,2022-12-20
