기사 제목,기사 링크
에스더기도운동 12월 3주차 북한 및 국가 기도제목,https://www.christiantoday.co.kr/news/351564
[부음] 김영학 별세 외,https://www.chosun.com/national/obituary-personnel/2022/12/12/44QBLMQAZBCXFPJIHWBEO424LE/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news
[부고]김영학 별세 外,https://www.donga.com/news/article/all/20221212/116952479/1
[부고] 손영호씨 별세 외,http://www.segye.com/content/html/2022/12/11/20221211507507.html?OutUrl=naver
12월12일 궂긴소식,https://www.hani.co.kr/arti/society/obituary/1071149.html
"[부음] 황신철 모친, 송한나 부친, 권종오 장인, 이정희 모친",https://www.businesspost.co.kr/BP?command=article_view&num=300390
[부고] 송한나(북한인권정보센터 국제협력관)씨 부친상,https://www.joongang.co.kr/article/25124731
[부고] 송한나(북한인권정보센터 국제협력관)씨 부친상,https://www.jeonmae.co.kr/news/articleView.html?idxno=928400
[부고]송한나(북한인권정보센터 국제협력관)씨 부친상,http://www.edaily.co.kr/news/newspath.asp?newsid=01207046632557536
[부고] 송한나 북한인권정보센터 국제협력관 부친상 외,http://www.segye.com/content/html/2022/12/11/20221211500920.html?OutUrl=naver
[부고] 송한나(북한인권정보센터 국제협력관) 씨 부친상,http://www.munhwa.com/news/view.html?no=20221210MW234206237371
국제인권단체들 안보리에 ‘북 인권 공개논의’ 촉구 서한 공개,https://www.seoul.co.kr/news/newsView.php?id=20221207500169&wlog_tag3=naver
"北인권 '비공개'로 다루면 ""잘못된 신호 줄 수도""…유엔에 인권단체 등 공개서...",http://www.newspim.com/news/view/20221207000191
"국제인권단체 ""안보리, 북한 인권 공개논의 중단... 北에 잘못된 메시지 줄 수...",https://www.sisa-news.com/news/article.html?no=223524
"국제인권단체 ""안보리, 北인권 공개논의 중단…북에 잘못된 메시지 줘""",http://www.newsis.com/view/?id=NISX20221207_0002114033&cID=10301&pID=10300
"국제인권단체·저명인사들, 안보리 이사국에 북한 인권 공식 논의 재개 촉구 ...",https://www.voakorea.com/a/6865086.html
"국무부, 북한 ‘종교자유 특별우려국’ 재지정...22년 연속",https://www.voakorea.com/a/6860071.html
"제주포럼, '회기간 회의 2022' 개최…""올해 국제정세 회고""",https://www.joongang.co.kr/article/25122636
제주포럼 회기간 회의 2022 개최…복합 위기 해법 모색,http://news.mt.co.kr/mtview.php?no=2022120211471798617
"'제주포럼 회기간 회의 2022' 개최…""올해 10대 사건 및 인물 선정""",https://www.news1.kr/articles/4882709
"제주평화연구원, '제주포럼 회기간 회의 2022' 개최",http://www.kdfnews.com/news/articleView.html?idxno=100908
