기사 제목,기사 링크
"""북 해커, 새로운 전술 개발…언론인인 척하고 전문가 의견 물어""",https://news.sbs.co.kr/news/endPage.do?news_id=N1007004780&plink=ORI&cooper=NAVER
"北 해커, 싱크탱크･언론인으로 위장해 전문가들 의견 얻어내",http://www.joseilbo.com/news/news_read.php?uid=473308&class=42&grp=
"""北 해커, 新 전술 개발…언론인인 척하고 전문가 의견 물어""",https://www.yna.co.kr/view/AKR20221212149900009?input=1195m
"국회, '금융투자소득세 시행일 3년 유예' 등 159건의 법률 제·개정 추진",https://www.straightnews.co.kr/news/articleView.html?idxno=221938
에스더기도운동 12월 3주차 북한 및 국가 기도제목,https://www.christiantoday.co.kr/news/351564
[부음] 김영학 별세 외,https://www.chosun.com/national/obituary-personnel/2022/12/12/44QBLMQAZBCXFPJIHWBEO424LE/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news
[부고]김영학 별세 外,https://www.donga.com/news/article/all/20221212/116952479/1
[부고] 손영호씨 별세 외,http://www.segye.com/content/html/2022/12/11/20221211507507.html?OutUrl=naver
12월12일 궂긴소식,https://www.hani.co.kr/arti/society/obituary/1071149.html
"[부음] 황신철 모친, 송한나 부친, 권종오 장인, 이정희 모친",https://www.businesspost.co.kr/BP?command=article_view&num=300390
[부고] 송한나(북한인권정보센터 국제협력관)씨 부친상,https://www.joongang.co.kr/article/25124731
[부고] 송한나(북한인권정보센터 국제협력관)씨 부친상,https://www.jeonmae.co.kr/news/articleView.html?idxno=928400
[부고]송한나(북한인권정보센터 국제협력관)씨 부친상,http://www.edaily.co.kr/news/newspath.asp?newsid=01207046632557536
[부고] 송한나 북한인권정보센터 국제협력관 부친상 외,http://www.segye.com/content/html/2022/12/11/20221211500920.html?OutUrl=naver
[부고] 송한나(북한인권정보센터 국제협력관) 씨 부친상,http://www.munhwa.com/news/view.html?no=20221210MW234206237371
국제인권단체들 안보리에 ‘북 인권 공개논의’ 촉구 서한 공개,https://www.seoul.co.kr/news/newsView.php?id=20221207500169&wlog_tag3=naver
"北인권 '비공개'로 다루면 ""잘못된 신호 줄 수도""…유엔에 인권단체 등 공개서...",http://www.newspim.com/news/view/20221207000191
"국제인권단체 ""안보리, 북한 인권 공개논의 중단... 北에 잘못된 메시지 줄 수...",https://www.sisa-news.com/news/article.html?no=223524
"국제인권단체 ""안보리, 北인권 공개논의 중단…북에 잘못된 메시지 줘""",http://www.newsis.com/view/?id=NISX20221207_0002114033&cID=10301&pID=10300
"국제인권단체·저명인사들, 안보리 이사국에 북한 인권 공식 논의 재개 촉구 ...",https://www.voakorea.com/a/6865086.html
"국무부, 북한 ‘종교자유 특별우려국’ 재지정...22년 연속",https://www.voakorea.com/a/6860071.html
[사설]日“군함도 조선인 차별 없었다” 또 왜곡… 이런다고 지워지나,https://www.donga.com/news/article/all/20221202/116820348/1
"제주포럼, '회기간 회의 2022' 개최…""올해 국제정세 회고""",https://www.joongang.co.kr/article/25122636
제주포럼 회기간 회의 2022 개최…복합 위기 해법 모색,http://news.mt.co.kr/mtview.php?no=2022120211471798617
"'제주포럼 회기간 회의 2022' 개최…""올해 10대 사건 및 인물 선정""",https://www.news1.kr/articles/4882709
"제주평화연구원, '제주포럼 회기간 회의 2022' 개최",http://www.kdfnews.com/news/articleView.html?idxno=100908
[인천시 청소년 정책] 우리의 미래 청소년이 행복한 인천 만든다,http://www.incheonilbo.com/news/articleView.html?idxno=1171959
"[하늘에서 본 북녘] 원산 88호 교화소, 노동단련대→구류시설로 변경 추정",https://www.dailynk.com/20221129-3
북한인권박물관 설립 위한 웹사이트 ‘북한인권라키비움’,https://www.christiantoday.co.kr/news/351268
"(사)북한인권정보센터, 북한인권 웹사이트 공개",http://www.konas.net/article/article.asp?idx=59829
[리셋 코리아] 지자체가 탈북민 지원에 나서야,https://www.joongang.co.kr/article/25119154
"北억류자·납북자 즉각 석방 촉구… 한·미·일 정상, 공동성명 첫 채택",http://www.segye.com/content/html/2022/11/16/20221116516433.html?OutUrl=naver
"한·미·일 정상, 北 억류자 석방 공동 촉구… 국제사회 압박 시동",http://www.segye.com/content/html/2022/11/15/20221115517679.html?OutUrl=naver
성인 과반 “탈북어민 강제북송 부적절”,https://www.christiantoday.co.kr/news/351018
국민 54.2% “탈북어민 북송사건 정부 대응 부적절”,http://www.ksmnews.co.kr/default/index_view_page.php?idx=401671&part_idx=7
국민 3명 중 1명 “북한 인권 관심 없다”,http://www.segye.com/content/html/2022/11/10/20221110516912.html?OutUrl=naver
"국민 54%, '탈북어민 북송 사건'에 ""부적절하다""",https://view.asiae.co.kr/article/2022111016434993967
"“국민 54%, ‘탈북어민 북송’ 부적절 인식… 관심도 높아”",https://biz.chosun.com/policy/politics/2022/11/10/YQONLEGSUBBHDLTDWR4QHRXASY/?utm_source=naver&utm_medium=original&utm_campaign=biz
"""국민의 66.5% '북한 인권에 관심있다' 응답…5년 사이 최대치""",https://www.news1.kr/articles/4860597
"""국민 54%, '탈북어민 북송' 부적절 인식…적절은 34%""",https://www.yna.co.kr/view/AKR20221110121800504?input=1195m
